ID,ParentID,Name,Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Label,Edge_Weight
S58,57,Supplier_S58,+1-555-855-9729,USA,,,,Suppliers,93
59,14,PurchasePart_59,S60,2021-10-30,911,24.92,24,Purchase_Parts,86
S60,59,Supplier_S60,+1-555-624-7807,Germany,,,,Suppliers,90
61,17,MakePart_61,2023-12-22,768,44.54,13,Pending,make parts,74
62,19,PurchasePart_62,S63,2022-01-07,895,23.41,2,Purchase_Parts,34
S63,62,Supplier_S63,+1-555-796-5530,Germany,,,,Suppliers,16
64,22,PurchasePart_64,S65,2021-08-10,199,15.49,6,Purchase_Parts,26
S65,64,Supplier_S65,+1-555-730-3908,UK,,,,Suppliers,81
66,30,PurchasePart_66,S67,2023-12-29,850,48.58,21,Purchase_Parts,81
S67,66,Supplier_S67,+1-555-916-4611,China,,,,Suppliers,24
68,14,PurchasePart_68,S69,2021-02-13,678,36.22,22,Purchase_Parts,66
S69,68,Supplier_S69,+1-555-567-8429,UK,,,,Suppliers,59
70,9,PurchasePart_70,S71,2023-03-22,998,42.27,10,Purchase_Parts,22
S71,70,Supplier_S71,+1-555-680-2317,USA,,,,Suppliers,18
72,17,PurchasePart_72,S73,2023-12-31,213,30.78,4,Purchase_Parts,81
S73,72,Supplier_S73,+1-555-473-4038,Germany,,,,Suppliers,36
74,18,PurchasePart_74,S75,2021-06-13,454,29.37,15,Purchase_Parts,96
S75,74,Supplier_S75,+1-555-694-6934,Germany,,,,Suppliers,33
76,17,MakePart_76,2020-06-27,482,89.14,28,Pending,make parts,31
77,14,PurchasePart_77,S78,2022-06-05,372,44.81,18,Purchase_Parts,62
S78,77,Supplier_S78,+1-555-998-5092,Japan,,,,Suppliers,100
79,17,PurchasePart_79,S80,2023-08-01,311,35.52,30,Purchase_Parts,86
S80,79,Supplier_S80,+1-555-337-5996,China,,,,Suppliers,72
81,17,MakePart_81,2022-12-23,518,40.74,21,Pending,make parts,30
82,9,MakePart_82,2021-12-14,284,92.23,9,Passed,make parts,11
83,29,PurchasePart_83,S84,2023-09-13,276,34.78,8,Purchase_Parts,66
S84,83,Supplier_S84,+1-555-721-2268,USA,,,,Suppliers,33
85,14,MakePart_85,2020-05-08,355,33.55,12,Failed,make parts,14
86,29,PurchasePart_86,S87,2022-08-01,358,36.45,11,Purchase_Parts,30
S87,86,Supplier_S87,+1-555-796-6453,Germany,,,,Suppliers,51
88,19,PurchasePart_88,S89,2020-11-22,798,14.19,9,Purchase_Parts,93
S89,88,Supplier_S89,+1-555-676-8147,USA,,,,Suppliers,35
90,29,PurchasePart_90,S91,2020-09-05,746,27.07,17,Purchase_Parts,37
S91,90,Supplier_S91,+1-555-424-1946,Germany,,,,Suppliers,90
92,19,MakePart_92,2021-01-16,295,98.59,13,Pending,make parts,45
93,29,MakePart_93,2020-09-12,965,53.66,7,Pending,make parts,18
94,19,MakePart_94,2022-09-26,733,42.39,17,Pending,make parts,49
95,29,PurchasePart_95,S96,2022-12-21,391,21.88,29,Purchase_Parts,68
S96,95,Supplier_S96,+1-555-818-6072,USA,,,,Suppliers,69
97,18,PurchasePart_97,S98,2023-01-25,965,7.03,20,Purchase_Parts,70
S98,97,Supplier_S98,+1-555-579-7778,USA,,,,Suppliers,45
99,14,MakePart_99,2023-10-08,976,95.73,18,Failed,make parts,98
100,22,MakePart_100,2021-06-03,420,97.28,8,Passed,make parts,95
101,14,PurchasePart_101,S102,2022-12-08,648,35.07,19,Purchase_Parts,12
S102,101,Supplier_S102,+1-555-629-4362,China,,,,Suppliers,17
103,19,PurchasePart_103,S104,2023-07-08,117,31.76,4,Purchase_Parts,25
S104,103,Supplier_S104,+1-555-649-1848,Germany,,,,Suppliers,30
105,22,PurchasePart_105,S106,2020-09-28,247,5.28,12,Purchase_Parts,80
S106,105,Supplier_S106,+1-555-489-9807,Japan,,,,Suppliers,58
107,17,PurchasePart_107,S108,2020-10-23,687,26.47,22,Purchase_Parts,20
S108,107,Supplier_S108,+1-555-754-8179,USA,,,,Suppliers,78
109,22,PurchasePart_109,S110,2023-02-07,779,14.34,19,Purchase_Parts,34
S110,109,Supplier_S110,+1-555-201-2401,China,,,,Suppliers,75
111,14,PurchasePart_111,S112,2022-12-19,442,9.3,1,Purchase_Parts,47
S112,111,Supplier_S112,+1-555-814-3771,Germany,,,,Suppliers,57
113,29,PurchasePart_113,S114,2023-09-06,743,13.0,19,Purchase_Parts,15
S114,113,Supplier_S114,+1-555-966-5659,UK,,,,Suppliers,14
115,14,PurchasePart_115,S116,2021-05-24,982,9.3,22,Purchase_Parts,40
S116,115,Supplier_S116,+1-555-720-6792,USA,,,,Suppliers,44
117,18,PurchasePart_117,S118,2021-03-16,493,20.19,30,Purchase_Parts,36
S118,117,Supplier_S118,+1-555-443-6413,Germany,,,,Suppliers,47
119,9,PurchasePart_119,S120,2022-02-16,158,6.96,12,Purchase_Parts,41
S120,119,Supplier_S120,+1-555-152-7225,UK,,,,Suppliers,95
121,17,PurchasePart_121,S122,2022-06-15,990,18.55,28,Purchase_Parts,12
S122,121,Supplier_S122,+1-555-677-6434,Japan,,,,Suppliers,95
123,29,PurchasePart_123,S124,2022-09-03,938,20.07,21,Purchase_Parts,81
S124,123,Supplier_S124,+1-555-855-2532,Japan,,,,Suppliers,21
125,14,PurchasePart_125,S126,2020-10-30,942,11.07,15,Purchase_Parts,38
S126,125,Supplier_S126,+1-555-127-5635,Germany,,,,Suppliers,24
127,9,PurchasePart_127,S128,2021-05-29,104,26.78,14,Purchase_Parts,44
S128,127,Supplier_S128,+1-555-960-7221,Japan,,,,Suppliers,73
129,18,PurchasePart_129,S130,2021-06-16,854,31.97,10,Purchase_Parts,38
S130,129,Supplier_S130,+1-555-522-6395,Japan,,,,Suppliers,86
131,17,PurchasePart_131,S132,2021-08-16,863,29.32,15,Purchase_Parts,95
S132,131,Supplier_S132,+1-555-546-6127,Germany,,,,Suppliers,83
133,29,MakePart_133,2023-02-25,391,38.88,28,Pending,make parts,53
134,18,PurchasePart_134,S135,2023-12-12,952,37.54,13,Purchase_Parts,65
S135,134,Supplier_S135,+1-555-715-6019,Germany,,,,Suppliers,62
136,14,PurchasePart_136,S137,2020-12-01,577,18.16,25,Purchase_Parts,87
S137,136,Supplier_S137,+1-555-443-7349,China,,,,Suppliers,98
138,18,PurchasePart_138,S139,2021-12-22,922,49.63,12,Purchase_Parts,38
S139,138,Supplier_S139,+1-555-134-7438,UK,,,,Suppliers,14
140,17,MakePart_140,2020-02-06,472,35.41,1,Failed,make parts,98
141,19,MakePart_141,2020-10-22,227,94.16,20,Pending,make parts,77
142,22,PurchasePart_142,S143,2022-12-30,427,28.51,16,Purchase_Parts,94
S143,142,Supplier_S143,+1-555-822-8665,China,,,,Suppliers,65
144,17,PurchasePart_144,S145,2021-01-07,119,49.04,8,Purchase_Parts,16
S145,144,Supplier_S145,+1-555-503-2734,UK,,,,Suppliers,20
