ID,ParentID,Name,Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Label,Edge_Weight
467,152,PurchasePart_467,S468,2022-12-30,278,42.62,30,Purchase_Parts,82
S468,467,Supplier_S468,+1-555-232-8229,Japan,,,,Suppliers,70
469,152,PurchasePart_469,S470,2022-06-28,933,14.99,10,Purchase_Parts,77
S470,469,Supplier_S470,+1-555-309-9853,China,,,,Suppliers,58
471,346,PurchasePart_471,S472,2023-09-19,169,9.64,28,Purchase_Parts,94
S472,471,Supplier_S472,+1-555-921-2781,UK,,,,Suppliers,11
473,120,PurchasePart_473,S474,2020-06-20,603,23.16,18,Purchase_Parts,76
S474,473,Supplier_S474,+1-555-388-9772,Germany,,,,Suppliers,91
475,183,PurchasePart_475,S476,2020-08-30,179,31.21,25,Purchase_Parts,17
S476,475,Supplier_S476,+1-555-163-2503,China,,,,Suppliers,40
477,241,PurchasePart_477,S478,2021-12-27,701,32.91,8,Purchase_Parts,47
S478,477,Supplier_S478,+1-555-419-3960,UK,,,,Suppliers,49
479,238,PurchasePart_479,S480,2021-09-25,273,28.09,18,Purchase_Parts,36
S480,479,Supplier_S480,+1-555-107-4154,China,,,,Suppliers,29
481,329,PurchasePart_481,S482,2023-06-10,698,40.99,10,Purchase_Parts,93
S482,481,Supplier_S482,+1-555-141-5738,Germany,,,,Suppliers,69
483,352,PurchasePart_483,S484,2021-11-30,176,20.3,17,Purchase_Parts,94
S484,483,Supplier_S484,+1-555-110-6875,Japan,,,,Suppliers,71
485,120,PurchasePart_485,S486,2022-03-26,873,49.21,18,Purchase_Parts,98
S486,485,Supplier_S486,+1-555-549-6699,Germany,,,,Suppliers,40
487,151,PurchasePart_487,S488,2022-07-18,634,35.6,17,Purchase_Parts,78
S488,487,Supplier_S488,+1-555-382-3805,Germany,,,,Suppliers,60
489,352,PurchasePart_489,S490,2020-11-05,504,7.49,21,Purchase_Parts,99
S490,489,Supplier_S490,+1-555-720-6444,China,,,,Suppliers,93
491,141,PurchasePart_491,S492,2020-09-05,161,31.31,3,Purchase_Parts,22
S492,491,Supplier_S492,+1-555-663-8463,Japan,,,,Suppliers,18
493,241,PurchasePart_493,S494,2022-06-06,367,10.93,30,Purchase_Parts,20
S494,493,Supplier_S494,+1-555-353-3433,Japan,,,,Suppliers,49
495,104,PurchasePart_495,S496,2022-03-06,736,10.52,28,Purchase_Parts,27
S496,495,Supplier_S496,+1-555-969-4395,UK,,,,Suppliers,93
497,138,PurchasePart_497,S498,2022-05-04,683,7.26,26,Purchase_Parts,73
S498,497,Supplier_S498,+1-555-310-1608,UK,,,,Suppliers,17
499,151,PurchasePart_499,S500,2021-07-25,433,26.08,12,Purchase_Parts,91
S500,499,Supplier_S500,+1-555-630-5118,USA,,,,Suppliers,82
501,120,PurchasePart_501,S502,2020-10-06,381,26.58,15,Purchase_Parts,60
S502,501,Supplier_S502,+1-555-658-7590,UK,,,,Suppliers,49
503,241,PurchasePart_503,S504,2021-05-02,878,29.88,1,Purchase_Parts,76
S504,503,Supplier_S504,+1-555-770-5883,USA,,,,Suppliers,80
505,349,PurchasePart_505,S506,2020-02-10,509,30.93,9,Purchase_Parts,20
S506,505,Supplier_S506,+1-555-546-4156,UK,,,,Suppliers,66
507,176,PurchasePart_507,S508,2022-10-10,184,38.44,20,Purchase_Parts,10
S508,507,Supplier_S508,+1-555-516-8225,USA,,,,Suppliers,93
509,183,PurchasePart_509,S510,2020-07-28,554,20.2,28,Purchase_Parts,82
S510,509,Supplier_S510,+1-555-782-5006,Germany,,,,Suppliers,18
511,329,PurchasePart_511,S512,2022-08-19,575,45.25,8,Purchase_Parts,62
S512,511,Supplier_S512,+1-555-888-9781,Japan,,,,Suppliers,72
513,115,PurchasePart_513,S514,2022-12-12,722,18.25,5,Purchase_Parts,57
S514,513,Supplier_S514,+1-555-117-9432,USA,,,,Suppliers,29
515,241,PurchasePart_515,S516,2021-01-01,598,43.38,17,Purchase_Parts,11
S516,515,Supplier_S516,+1-555-459-5747,USA,,,,Suppliers,91
517,142,PurchasePart_517,S518,2021-05-06,868,19.91,16,Purchase_Parts,75
S518,517,Supplier_S518,+1-555-897-5444,China,,,,Suppliers,10
519,276,PurchasePart_519,S520,2021-09-05,365,12.09,11,Purchase_Parts,32
S520,519,Supplier_S520,+1-555-632-7605,China,,,,Suppliers,66
521,127,PurchasePart_521,S522,2022-02-18,846,48.09,1,Purchase_Parts,35
S522,521,Supplier_S522,+1-555-141-6866,USA,,,,Suppliers,72
523,241,PurchasePart_523,S524,2023-04-30,945,35.09,15,Purchase_Parts,74
S524,523,Supplier_S524,+1-555-716-4787,UK,,,,Suppliers,45
525,152,PurchasePart_525,S526,2020-01-30,960,34.56,27,Purchase_Parts,47
S526,525,Supplier_S526,+1-555-748-3965,Japan,,,,Suppliers,76
527,241,PurchasePart_527,S528,2022-10-22,700,43.39,28,Purchase_Parts,41
S528,527,Supplier_S528,+1-555-807-7714,Germany,,,,Suppliers,54
529,349,PurchasePart_529,S530,2020-10-19,771,32.57,23,Purchase_Parts,86
S530,529,Supplier_S530,+1-555-955-3423,Germany,,,,Suppliers,44
531,346,PurchasePart_531,S532,2022-02-09,243,33.24,5,Purchase_Parts,89
S532,531,Supplier_S532,+1-555-495-8106,Germany,,,,Suppliers,22
533,346,PurchasePart_533,S534,2021-12-24,387,46.81,2,Purchase_Parts,49
S534,533,Supplier_S534,+1-555-606-6625,UK,,,,Suppliers,34
535,120,PurchasePart_535,S536,2021-11-11,748,12.75,18,Purchase_Parts,53
S536,535,Supplier_S536,+1-555-287-8530,Germany,,,,Suppliers,25
537,403,PurchasePart_537,S538,2023-02-19,791,29.47,26,Purchase_Parts,97
S538,537,Supplier_S538,+1-555-775-8406,Germany,,,,Suppliers,80
539,120,PurchasePart_539,S540,2023-03-30,697,7.4,18,Purchase_Parts,36
S540,539,Supplier_S540,+1-555-221-3982,Japan,,,,Suppliers,57
541,349,PurchasePart_541,S542,2023-11-02,644,25.46,18,Purchase_Parts,74
S542,541,Supplier_S542,+1-555-781-1850,Japan,,,,Suppliers,96
543,115,PurchasePart_543,S544,2023-06-11,933,44.85,13,Purchase_Parts,98
S544,543,Supplier_S544,+1-555-624-2240,China,,,,Suppliers,50
545,104,PurchasePart_545,S546,2021-10-07,386,8.63,11,Purchase_Parts,87
S546,545,Supplier_S546,+1-555-280-3527,Japan,,,,Suppliers,26
547,352,PurchasePart_547,S548,2022-03-27,531,44.87,21,Purchase_Parts,54
S548,547,Supplier_S548,+1-555-308-8065,USA,,,,Suppliers,36
549,346,PurchasePart_549,S550,2023-02-10,292,20.23,15,Purchase_Parts,76
S550,549,Supplier_S550,+1-555-114-4510,USA,,,,Suppliers,71
551,104,PurchasePart_551,S552,2020-11-12,291,29.68,16,Purchase_Parts,67
S552,551,Supplier_S552,+1-555-975-5716,Germany,,,,Suppliers,41
553,138,PurchasePart_553,S554,2020-12-19,145,27.97,2,Purchase_Parts,67
S554,553,Supplier_S554,+1-555-983-5902,China,,,,Suppliers,82
555,152,PurchasePart_555,S556,2023-12-23,641,24.13,6,Purchase_Parts,92
S556,555,Supplier_S556,+1-555-976-1336,China,,,,Suppliers,38
557,349,PurchasePart_557,S558,2020-04-01,435,25.55,8,Purchase_Parts,22
S558,557,Supplier_S558,+1-555-683-1763,China,,,,Suppliers,36
559,115,PurchasePart_559,S560,2022-12-20,749,43.78,27,Purchase_Parts,94
S560,559,Supplier_S560,+1-555-137-2695,China,,,,Suppliers,59
561,183,PurchasePart_561,S562,2022-07-19,187,29.91,26,Purchase_Parts,63
S562,561,Supplier_S562,+1-555-959-2373,China,,,,Suppliers,91
563,120,PurchasePart_563,S564,2020-09-25,532,19.58,12,Purchase_Parts,56
S564,563,Supplier_S564,+1-555-382-1626,China,,,,Suppliers,42
565,183,PurchasePart_565,S566,2020-01-24,318,24.19,15,Purchase_Parts,16
S566,565,Supplier_S566,+1-555-404-1128,Japan,,,,Suppliers,39
567,141,PurchasePart_567,S568,2020-07-11,219,36.16,4,Purchase_Parts,41
S568,567,Supplier_S568,+1-555-364-3997,USA,,,,Suppliers,72
569,142,PurchasePart_569,S570,2022-09-30,617,48.2,28,Purchase_Parts,39
S570,569,Supplier_S570,+1-555-707-7040,USA,,,,Suppliers,37
571,404,PurchasePart_571,S572,2020-09-19,975,37.72,28,Purchase_Parts,49
S572,571,Supplier_S572,+1-555-958-4821,Germany,,,,Suppliers,40
573,120,PurchasePart_573,S574,2021-07-07,733,13.61,23,Purchase_Parts,10
S574,573,Supplier_S574,+1-555-135-5856,UK,,,,Suppliers,57
575,127,PurchasePart_575,S576,2023-12-29,439,39.35,15,Purchase_Parts,24
S576,575,Supplier_S576,+1-555-684-2032,China,,,,Suppliers,88
577,241,PurchasePart_577,S578,2022-09-19,217,6.28,9,Purchase_Parts,36
S578,577,Supplier_S578,+1-555-591-5505,China,,,,Suppliers,14
579,346,PurchasePart_579,S580,2020-02-08,757,8.26,25,Purchase_Parts,33
S580,579,Supplier_S580,+1-555-692-3169,USA,,,,Suppliers,77
581,238,PurchasePart_581,S582,2021-08-03,856,49.79,28,Purchase_Parts,54
S582,581,Supplier_S582,+1-555-356-7813,China,,,,Suppliers,97
583,151,PurchasePart_583,S584,2022-10-26,311,14.56,18,Purchase_Parts,32
S584,583,Supplier_S584,+1-555-292-6482,Japan,,,,Suppliers,89
585,349,PurchasePart_585,S586,2023-06-30,645,28.34,6,Purchase_Parts,52
S586,585,Supplier_S586,+1-555-703-4113,UK,,,,Suppliers,97
587,141,PurchasePart_587,S588,2023-03-12,461,24.62,30,Purchase_Parts,56
S588,587,Supplier_S588,+1-555-419-1213,UK,,,,Suppliers,75
589,349,PurchasePart_589,S590,2022-01-04,951,29.31,5,Purchase_Parts,19
S590,589,Supplier_S590,+1-555-254-8702,UK,,,,Suppliers,87
591,403,PurchasePart_591,S592,2020-11-24,160,19.71,29,Purchase_Parts,68
S592,591,Supplier_S592,+1-555-486-3881,China,,,,Suppliers,69
593,176,PurchasePart_593,S594,2022-02-26,589,46.94,8,Purchase_Parts,80
S594,593,Supplier_S594,+1-555-493-6761,UK,,,,Suppliers,84
595,352,PurchasePart_595,S596,2022-02-11,714,44.13,4,Purchase_Parts,12
S596,595,Supplier_S596,+1-555-856-3323,Germany,,,,Suppliers,90
597,141,PurchasePart_597,S598,2023-12-15,191,45.83,21,Purchase_Parts,80
S598,597,Supplier_S598,+1-555-172-4268,UK,,,,Suppliers,87
599,176,PurchasePart_599,S600,2020-04-10,664,21.42,19,Purchase_Parts,99
S600,599,Supplier_S600,+1-555-797-1937,USA,,,,Suppliers,69
601,276,PurchasePart_601,S602,2023-07-20,670,47.75,9,Purchase_Parts,58
S602,601,Supplier_S602,+1-555-846-4047,UK,,,,Suppliers,87
603,176,PurchasePart_603,S604,2022-06-08,696,39.03,29,Purchase_Parts,27
S604,603,Supplier_S604,+1-555-103-6817,Germany,,,,Suppliers,74
605,138,PurchasePart_605,S606,2022-08-01,758,30.66,5,Purchase_Parts,49
S606,605,Supplier_S606,+1-555-851-7126,Germany,,,,Suppliers,16
607,238,PurchasePart_607,S608,2022-03-03,546,26.7,12,Purchase_Parts,42
S608,607,Supplier_S608,+1-555-571-1372,Japan,,,,Suppliers,45
609,104,PurchasePart_609,S610,2023-12-12,347,47.06,27,Purchase_Parts,59
S610,609,Supplier_S610,+1-555-576-3829,UK,,,,Suppliers,94
611,238,PurchasePart_611,S612,2020-05-21,547,12.36,30,Purchase_Parts,19
S612,611,Supplier_S612,+1-555-944-4176,China,,,,Suppliers,41
613,238,PurchasePart_613,S614,2023-08-09,839,32.21,16,Purchase_Parts,100
S614,613,Supplier_S614,+1-555-940-7103,Germany,,,,Suppliers,39
615,276,PurchasePart_615,S616,2022-12-18,941,18.45,29,Purchase_Parts,34
S616,615,Supplier_S616,+1-555-731-8089,UK,,,,Suppliers,64
617,176,PurchasePart_617,S618,2023-09-30,710,24.33,2,Purchase_Parts,24
S618,617,Supplier_S618,+1-555-944-8669,Germany,,,,Suppliers,21
619,276,PurchasePart_619,S620,2023-07-22,673,41.73,28,Purchase_Parts,96
S620,619,Supplier_S620,+1-555-488-2358,China,,,,Suppliers,46
621,153,PurchasePart_621,S622,2021-08-09,365,8.31,28,Purchase_Parts,46
S622,621,Supplier_S622,+1-555-799-5193,USA,,,,Suppliers,70
623,138,PurchasePart_623,S624,2020-10-09,927,10.17,20,Purchase_Parts,86
S624,623,Supplier_S624,+1-555-140-9999,Germany,,,,Suppliers,82
625,153,PurchasePart_625,S626,2022-04-09,317,45.48,1,Purchase_Parts,62
S626,625,Supplier_S626,+1-555-389-3483,USA,,,,Suppliers,15
627,120,PurchasePart_627,S628,2023-06-18,283,31.57,16,Purchase_Parts,55
S628,627,Supplier_S628,+1-555-224-4375,Japan,,,,Suppliers,19
629,152,PurchasePart_629,S630,2022-05-08,790,26.08,19,Purchase_Parts,56
S630,629,Supplier_S630,+1-555-160-9381,UK,,,,Suppliers,82
631,276,PurchasePart_631,S632,2020-08-10,296,31.45,30,Purchase_Parts,90
S632,631,Supplier_S632,+1-555-855-5041,China,,,,Suppliers,83
633,152,PurchasePart_633,S634,2022-08-01,730,7.32,7,Purchase_Parts,87
S634,633,Supplier_S634,+1-555-221-8996,Germany,,,,Suppliers,77
635,241,PurchasePart_635,S636,2020-11-02,564,10.38,6,Purchase_Parts,68
S636,635,Supplier_S636,+1-555-395-4796,China,,,,Suppliers,78
637,329,PurchasePart_637,S638,2021-07-19,326,36.16,25,Purchase_Parts,49
S638,637,Supplier_S638,+1-555-668-2141,Germany,,,,Suppliers,53
639,183,PurchasePart_639,S640,2020-08-20,650,42.03,17,Purchase_Parts,83
S640,639,Supplier_S640,+1-555-736-6455,USA,,,,Suppliers,29
641,352,PurchasePart_641,S642,2022-07-20,409,11.37,8,Purchase_Parts,97
S642,641,Supplier_S642,+1-555-618-4766,Germany,,,,Suppliers,73
643,138,PurchasePart_643,S644,2021-03-28,878,28.02,28,Purchase_Parts,83
S644,643,Supplier_S644,+1-555-896-1398,Japan,,,,Suppliers,59
645,104,PurchasePart_645,S646,2022-06-09,488,31.72,22,Purchase_Parts,91
S646,645,Supplier_S646,+1-555-892-4907,Germany,,,,Suppliers,91
647,151,PurchasePart_647,S648,2022-02-08,380,45.21,20,Purchase_Parts,42
S648,647,Supplier_S648,+1-555-516-8418,UK,,,,Suppliers,28
649,153,PurchasePart_649,S650,2022-01-15,797,18.57,5,Purchase_Parts,90
S650,649,Supplier_S650,+1-555-355-9229,Japan,,,,Suppliers,46
651,403,PurchasePart_651,S652,2020-02-13,747,22.21,18,Purchase_Parts,42
S652,651,Supplier_S652,+1-555-578-3009,UK,,,,Suppliers,66
653,403,PurchasePart_653,S654,2022-02-16,501,33.15,27,Purchase_Parts,97
S654,653,Supplier_S654,+1-555-895-8496,Germany,,,,Suppliers,24
655,404,PurchasePart_655,S656,2022-08-12,634,44.02,27,Purchase_Parts,11
S656,655,Supplier_S656,+1-555-164-3321,Japan,,,,Suppliers,39
657,404,PurchasePart_657,S658,2021-02-11,408,43.47,27,Purchase_Parts,74
S658,657,Supplier_S658,+1-555-684-6044,Japan,,,,Suppliers,96
659,276,PurchasePart_659,S660,2020-12-23,145,41.75,16,Purchase_Parts,98
S660,659,Supplier_S660,+1-555-937-1972,China,,,,Suppliers,31
661,238,PurchasePart_661,S662,2021-10-10,626,5.3,11,Purchase_Parts,62
S662,661,Supplier_S662,+1-555-603-7124,Germany,,,,Suppliers,19
663,127,PurchasePart_663,S664,2022-10-25,143,25.3,4,Purchase_Parts,71
S664,663,Supplier_S664,+1-555-404-8359,Japan,,,,Suppliers,78
665,403,PurchasePart_665,S666,2022-03-03,332,36.39,22,Purchase_Parts,49
S666,665,Supplier_S666,+1-555-380-3999,China,,,,Suppliers,82
667,152,PurchasePart_667,S668,2021-07-23,952,22.45,10,Purchase_Parts,13
S668,667,Supplier_S668,+1-555-365-3121,Japan,,,,Suppliers,68
669,141,PurchasePart_669,S670,2022-02-02,314,20.52,3,Purchase_Parts,20
S670,669,Supplier_S670,+1-555-730-5316,Japan,,,,Suppliers,70
671,276,PurchasePart_671,S672,2022-06-16,200,10.94,5,Purchase_Parts,22
S672,671,Supplier_S672,+1-555-240-9987,Germany,,,,Suppliers,94
673,120,PurchasePart_673,S674,2021-01-11,881,12.14,27,Purchase_Parts,14
S674,673,Supplier_S674,+1-555-927-8178,Japan,,,,Suppliers,44
675,241,PurchasePart_675,S676,2023-04-21,522,28.97,23,Purchase_Parts,76
S676,675,Supplier_S676,+1-555-519-2855,China,,,,Suppliers,50
677,241,PurchasePart_677,S678,2023-04-27,906,32.66,29,Purchase_Parts,53
S678,677,Supplier_S678,+1-555-495-9571,Germany,,,,Suppliers,27
679,152,PurchasePart_679,S680,2022-03-08,691,24.7,24,Purchase_Parts,56
S680,679,Supplier_S680,+1-555-336-2843,China,,,,Suppliers,26
681,403,PurchasePart_681,S682,2023-11-25,733,14.95,1,Purchase_Parts,41
S682,681,Supplier_S682,+1-555-212-3971,USA,,,,Suppliers,45
683,153,PurchasePart_683,S684,2022-11-01,887,26.84,7,Purchase_Parts,60
S684,683,Supplier_S684,+1-555-525-8523,USA,,,,Suppliers,44
685,238,PurchasePart_685,S686,2022-07-11,541,45.09,9,Purchase_Parts,69
S686,685,Supplier_S686,+1-555-574-6228,UK,,,,Suppliers,27
687,127,PurchasePart_687,S688,2020-09-18,809,40.77,1,Purchase_Parts,97
S688,687,Supplier_S688,+1-555-377-3870,Japan,,,,Suppliers,36
689,127,PurchasePart_689,S690,2023-06-16,721,14.15,14,Purchase_Parts,81
S690,689,Supplier_S690,+1-555-877-2503,China,,,,Suppliers,35
691,176,PurchasePart_691,S692,2022-02-03,293,37.78,15,Purchase_Parts,21
S692,691,Supplier_S692,+1-555-740-2483,Germany,,,,Suppliers,74
693,176,PurchasePart_693,S694,2022-08-21,142,26.77,1,Purchase_Parts,68
S694,693,Supplier_S694,+1-555-621-1261,USA,,,,Suppliers,54
695,349,PurchasePart_695,S696,2022-04-08,968,35.72,11,Purchase_Parts,71
S696,695,Supplier_S696,+1-555-782-7618,China,,,,Suppliers,96
697,142,PurchasePart_697,S698,2021-04-23,893,45.24,21,Purchase_Parts,88
S698,697,Supplier_S698,+1-555-538-5850,USA,,,,Suppliers,60
699,104,PurchasePart_699,S700,2020-03-07,784,14.67,4,Purchase_Parts,64
S700,699,Supplier_S700,+1-555-741-1995,Germany,,,,Suppliers,78
701,141,PurchasePart_701,S702,2022-03-09,716,41.31,17,Purchase_Parts,85
S702,701,Supplier_S702,+1-555-903-6835,China,,,,Suppliers,38
703,349,PurchasePart_703,S704,2022-09-16,193,41.2,8,Purchase_Parts,94
S704,703,Supplier_S704,+1-555-652-7797,USA,,,,Suppliers,57
705,241,PurchasePart_705,S706,2023-10-11,225,12.24,17,Purchase_Parts,52
S706,705,Supplier_S706,+1-555-201-9150,Japan,,,,Suppliers,97
707,176,PurchasePart_707,S708,2020-12-04,153,38.39,20,Purchase_Parts,72
S708,707,Supplier_S708,+1-555-392-2818,USA,,,,Suppliers,39
709,141,PurchasePart_709,S710,2023-04-25,172,45.57,18,Purchase_Parts,96
S710,709,Supplier_S710,+1-555-595-5377,Japan,,,,Suppliers,87
711,183,PurchasePart_711,S712,2022-07-29,950,19.16,25,Purchase_Parts,16
S712,711,Supplier_S712,+1-555-341-3336,Japan,,,,Suppliers,29
713,151,PurchasePart_713,S714,2022-12-02,723,36.85,24,Purchase_Parts,52
S714,713,Supplier_S714,+1-555-172-1446,China,,,,Suppliers,92
715,138,PurchasePart_715,S716,2020-01-07,464,30.32,26,Purchase_Parts,17
S716,715,Supplier_S716,+1-555-460-3750,China,,,,Suppliers,33
717,120,PurchasePart_717,S718,2020-12-03,433,40.46,23,Purchase_Parts,12
S718,717,Supplier_S718,+1-555-621-2351,UK,,,,Suppliers,82
719,153,PurchasePart_719,S720,2023-03-21,322,7.13,10,Purchase_Parts,58
S720,719,Supplier_S720,+1-555-502-3440,Japan,,,,Suppliers,87
721,403,PurchasePart_721,S722,2020-08-13,803,9.75,16,Purchase_Parts,45
S722,721,Supplier_S722,+1-555-180-2183,China,,,,Suppliers,35
723,151,PurchasePart_723,S724,2022-11-30,730,38.15,4,Purchase_Parts,65
S724,723,Supplier_S724,+1-555-610-8491,Germany,,,,Suppliers,76
725,141,PurchasePart_725,S726,2022-09-27,875,15.18,5,Purchase_Parts,82
S726,725,Supplier_S726,+1-555-302-3988,China,,,,Suppliers,34
727,176,PurchasePart_727,S728,2020-06-20,369,24.13,26,Purchase_Parts,100
S728,727,Supplier_S728,+1-555-771-6800,USA,,,,Suppliers,99
729,176,PurchasePart_729,S730,2022-06-27,495,30.81,30,Purchase_Parts,37
S730,729,Supplier_S730,+1-555-472-9474,USA,,,,Suppliers,87
731,403,PurchasePart_731,S732,2023-02-15,716,13.04,9,Purchase_Parts,36
S732,731,Supplier_S732,+1-555-215-8222,UK,,,,Suppliers,27
733,403,PurchasePart_733,S734,2022-07-02,597,19.39,15,Purchase_Parts,88
S734,733,Supplier_S734,+1-555-522-4610,China,,,,Suppliers,16
735,120,PurchasePart_735,S736,2021-02-14,281,47.47,30,Purchase_Parts,59
S736,735,Supplier_S736,+1-555-216-9111,Japan,,,,Suppliers,97
737,241,PurchasePart_737,S738,2020-11-03,803,27.49,10,Purchase_Parts,43
S738,737,Supplier_S738,+1-555-777-4151,China,,,,Suppliers,19
739,153,PurchasePart_739,S740,2021-02-02,766,40.22,23,Purchase_Parts,49
S740,739,Supplier_S740,+1-555-185-8847,UK,,,,Suppliers,73
741,349,PurchasePart_741,S742,2023-02-16,484,36.19,10,Purchase_Parts,79
S742,741,Supplier_S742,+1-555-415-9744,Germany,,,,Suppliers,78
743,115,PurchasePart_743,S744,2021-10-22,724,18.1,15,Purchase_Parts,85
S744,743,Supplier_S744,+1-555-545-9296,Japan,,,,Suppliers,41
745,127,PurchasePart_745,S746,2020-08-08,473,43.58,26,Purchase_Parts,86
S746,745,Supplier_S746,+1-555-462-8256,Japan,,,,Suppliers,85
747,127,PurchasePart_747,S748,2022-12-14,694,37.44,7,Purchase_Parts,66
S748,747,Supplier_S748,+1-555-277-8911,Japan,,,,Suppliers,43
749,115,PurchasePart_749,S750,2020-12-27,539,20.89,5,Purchase_Parts,53
S750,749,Supplier_S750,+1-555-747-9761,Germany,,,,Suppliers,93
751,104,PurchasePart_751,S752,2022-06-01,988,18.58,5,Purchase_Parts,44
S752,751,Supplier_S752,+1-555-805-6055,USA,,,,Suppliers,76
753,404,PurchasePart_753,S754,2022-07-15,487,32.14,4,Purchase_Parts,69
S754,753,Supplier_S754,+1-555-113-3044,UK,,,,Suppliers,18
